id,namaWisata,rating,kategori,Kategori User,Tautan,Link Gambar
71,Mutiara park,4.5,Hiburan,"Keluarga, Rekreasi",https://maps.app.goo.gl/JZ69V1BtecXsztE89,https://drive.google.com/file/d/1ew6vW0-ErBRUXH7mDF6CHuTaAzci4UUV/view?usp=drive_link
72,Tanoker Ledokombo,4.3,Hiburan,"Keluarga, Rekreasi",https://maps.app.goo.gl/o85NUvh3rrcfpnyG7,https://drive.google.com/file/d/1zgUYsc3MIcZOXCge8DwKdZmab2YFo5ka/view?usp=drive_link
73,Zona Rekreasi TPA Pakusari,4.1,"Alam, Hiburan","Keluarga, Santai",https://maps.app.goo.gl/pDxgBTQp7bnMuP7x7,https://drive.google.com/file/d/1HcWySlagPmT7P9OE-Jo4dVoABBRfZiZo/view?usp=drive_link
74,Agrowisata Sentool,4.2,"Alam, Hiburan, Petualangan","Keluarga, Santai, Rekreasi",https://maps.app.goo.gl/6chvKmAHLvC6ryVKA,https://drive.google.com/file/d/1s41pU1EI5fLRCY4rkm3tY5bs-AaO_qN4/view?usp=drive_link
75,Perkebunan Durjo,4.3,Alam,"Keluarga, Santai, Petualang",https://maps.app.goo.gl/UdGDJZ3N54MUtbXNA,https://drive.google.com/file/d/1d2XvzPEawWOjomvxD1Y56E_h95C9DmK0/view?usp=drive_link
76,Jember Roxy Square,4.5,Belanja,Keluarga,https://maps.app.goo.gl/GhNK1zKqdhUE4Y5A6,https://drive.google.com/file/d/1oC3iOzdFK0cViOVFoNeeBrvTOebY2oII/view?usp=drive_link
77,Matahari Johar Plaza,4.3,Belanja,Keluarga,https://maps.app.goo.gl/LxgPPnDJVZ8AVvh5A,https://drive.google.com/file/d/17TY2ZiWN6MGLvTwolN4f7GLgbnMnuLFG/view?usp=drive_link
78,Nico Busana,4.3,Belanja,Keluarga,https://maps.app.goo.gl/1a8G6Qw13fWcnjMR8,https://drive.google.com/file/d/1SuPqoZsGTP8c8qm1eWYL3B_pX2Vo2ldf/view?usp=drive_link
79,Lippo Plaza Jember,4.5,Belanja,Keluarga,https://maps.app.goo.gl/CiDoqwthy779SsWs6,https://drive.google.com/file/d/12-X5qB7fI__64aicrQNsM4H3b69h-gqj/view?usp=drive_link
80,Transmart Jember,4.5,Belanja,Keluarga,https://maps.app.goo.gl/9UpibuBLFML2iVPV6,https://drive.google.com/file/d/1qU_4fytavA0ySDHCdnFYdmDa6FkO26av/view?usp=drive_link
81,Golden Market,4.5,Belanja,Keluarga,https://maps.app.goo.gl/gvrLproiq1yU5S888,https://drive.google.com/file/d/1XmwLkiozuquPhB7OX_gGLDwYoS8qkeu2/view?usp=drive_link
82,Masjid Roudhotul Muchlisin,4.8,Religi,Keluarga,https://maps.app.goo.gl/3aqiCitPnK2C9wa76,https://drive.google.com/file/d/1PQMSqojv6R4t5zJMEOUiRc2EMeTD38Qp/view?usp=drive_link
